Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021,,,,
Symbol,Company Name,Weight,Identifier,Shares Held
RY.TO,Royal Bank of Canada,7.79%,,
SHOP.TO,Shopify Inc,7.60%,,
TD.TO,Toronto-Dominion Bank,7.17%,,
ENB.TO,Enbridge Inc,4.48%,,
BNS.TO,Bank of Nova Scotia,4.43%,,
CNR.TO,Canadian National Railway Co,4.39%,,
BAM-A.TO,Brookfield Asset Management Inc Cl A,3.67%,,
BMO.TO,Bank of Montreal,3.50%,,
CP.TO,Canadian Pacific Railway Ltd,2.85%,,
TRP.TO,TC Energy Corp,2.77%,,
CM.TO,Canadian Imperial Bank of Commerce,2.67%,,
BCE.TO,BCE Inc,2.45%,,
MFC.TO,Manulife Financial Corp,2.43%,,
ABX.TO,Barrick Gold Corp,2.17%,,
CNQ.TO,Canadian Natural Resources Ltd,2.06%,,
SU.TO,Suncor Energy Inc,1.87%,,
SLF.TO,Sun Life Financial Inc,1.81%,,
NTR.TO,Nutrien Ltd,1.80%,,
WCN.TO,Waste Connections Inc,1.79%,,
CSU.TO,Constellation Software Inc,1.68%,,
ATD-B.TO,Alimentation Couche-Tard Inc Cl B,1.64%,,
T.TO,TELUS Corp,1.60%,,
FNV.TO,Franco-Nevada Corp,1.53%,,
MG.TO,Magna International Inc Cl A,1.48%,,
NA.TO,National Bank of Canada,1.40%,,
QSR.TO,Restaurant Brands International Inc,1.20%,,
FTS.TO,Fortis Inc,1.19%,,
WPM.TO,Wheaton Precious Metals Corp,1.07%,,
RCI-B.TO,Rogers Communications Inc Cl B,0.99%,,
PPL.TO,Pembina Pipeline Corp,0.97%,,
POW.TO,Power Corp of Canada,0.96%,,
BIP-UN.TO,Brookfield Infrastructure Partners LP - Units,0.91%,,
TRI.TO,Thomson Reuters Corp,0.90%,,
AEM.TO,Agnico Eagle Mines Ltd,0.87%,,
DOL.TO,Dollarama Inc,0.77%,,
SJR-B.TO,Shaw Communications Inc Cl B,0.75%,,
OTEX.TO,Open Text Corp,0.74%,,
FM.TO,First Quantum Minerals Ltd,0.73%,,
EMA.TO,Emera Inc,0.66%,,
MRU.TO,Metro Inc Cl A,0.65%,,
BHC.TO,Bausch Health Companies Inc,0.57%,,
KL.TO,Kirkland Lake Gold Ltd,0.57%,,
TECK-B.TO,Teck Resources Ltd Cl B,0.57%,,
CVE.TO,Cenovus Energy Inc,0.56%,,
AQN.TO,Algonquin Power & Utilities Corp,0.55%,,
CTC-A.TO,Canadian Tire Corp Ltd Cl A,0.52%,,
L.TO,Loblaw Cos Ltd,0.51%,,
K.TO,Kinross Gold Corp,0.51%,,
CCL-B.TO,CCL Industries Inc Cl B,0.49%,,
CAR-UN.TO,Canadian Apartment Properties REIT - Units,0.44%,,
SAP.TO,Saputo Inc,0.43%,,
GIL.TO,Gildan Activewear Inc,0.40%,,
CCO.TO,Cameco Corp,0.38%,,
IMO.TO,Imperial Oil Ltd,0.37%,,
IPL.TO,Inter Pipeline Ltd,0.36%,,
WN.TO,George Weston Ltd,0.35%,,
WEED.TO,Canopy Growth Corp,0.35%,,
BPY-UN.TO,Brookfield Property Partners LP - Units,0.33%,,
SNC.TO,SNC-Lavalin Group Inc,0.23%,,
